Data,Temp M1,Temp Random
2016/04/19 02:58:59,20.50,17
2016/04/19 03:04:00,20.50,21
2016/04/19 03:09:01,20.44,18
2016/04/19 03:14:02,20.50,22
2016/04/19 03:19:03,20.44,22
2016/04/19 03:24:04,20.50,21
2016/04/19 03:29:05,20.44,22
2016/04/19 03:34:06,20.44,18
2016/04/19 03:39:07,20.44,21
2016/04/19 03:44:08,20.44,22
2016/04/19 03:49:09,20.44,21
2016/04/19 03:54:10,20.44,17
2016/04/19 03:59:11,20.44,17
2016/04/19 04:04:12,20.44,18
2016/04/19 04:09:13,20.44,17
2016/04/19 04:14:14,20.44,17
2016/04/19 04:19:15,20.44,22
2016/04/19 04:24:16,20.44,20
2016/04/19 04:29:17,20.44,20
2016/04/19 04:34:18,20.44,19
2016/04/19 04:39:19,20.38,19
2016/04/19 04:44:20,20.38,21
2016/04/19 04:49:21,20.38,22
2016/04/19 04:54:22,20.38,17
2016/04/19 04:59:23,20.38,21
2016/04/19 05:04:24,20.38,19
2016/04/19 05:09:25,20.38,20
2016/04/19 05:14:26,20.38,18
2016/04/19 05:19:27,20.38,19
2016/04/19 05:24:28,20.38,20
2016/04/19 05:29:29,20.38,18
2016/04/19 05:34:30,20.38,17
2016/04/19 05:39:31,20.38,21
2016/04/19 05:44:32,20.38,19
2016/04/19 05:49:33,20.38,20
2016/04/19 05:54:34,20.38,18
2016/04/19 05:59:35,20.38,18
2016/04/19 06:04:36,20.38,17
2016/04/19 06:09:37,20.38,18
2016/04/19 06:14:38,20.38,18
2016/04/19 06:19:39,20.38,18
2016/04/19 06:24:40,20.38,18
2016/04/19 06:29:41,20.38,18
2016/04/19 06:34:42,20.38,20
2016/04/19 06:39:43,20.38,17
2016/04/19 06:44:44,20.38,22
2016/04/19 06:49:45,20.38,21
2016/04/19 06:54:46,20.38,21
2016/04/19 06:59:47,20.38,22
2016/04/19 07:04:48,20.38,18
2016/04/19 07:09:49,20.38,22
2016/04/19 07:14:50,20.38,17
2016/04/19 07:19:51,20.31,22
2016/04/19 07:24:52,20.31,22
2016/04/19 07:29:53,20.38,18
2016/04/19 07:34:54,20.38,21
2016/04/19 07:39:55,20.38,19
2016/04/19 07:44:56,20.38,19
2016/04/19 07:49:57,20.31,21
2016/04/19 07:54:58,20.31,18
2016/04/19 07:59:59,20.38,18
2016/04/19 08:05:00,20.31,18
2016/04/19 08:10:01,20.31,22
2016/04/19 08:15:02,20.31,20
2016/04/19 08:20:03,20.31,19
2016/04/19 08:25:04,20.31,17
2016/04/19 08:30:05,20.31,18
2016/04/19 08:35:06,20.31,19
2016/04/19 08:40:07,20.31,19
2016/04/19 08:45:08,20.31,21
2016/04/19 08:50:09,20.31,21
2016/04/19 08:55:10,20.31,20
2016/04/19 09:00:11,20.31,17
2016/04/19 09:05:12,20.31,19
